Date,Actual_Oilprice,ARIMA baseline,SARIMAX + oil + us-index,ANN + oil,ANN + oil + us-index
2017-09-15,49.065999999999995,,,,
2017-09-22,50.124,,,,
2017-09-29,51.774,,,,
2017-10-06,50.232,,,,
2017-10-13,50.769999999999996,,,,
2017-10-20,51.739999999999995,,,,
2017-10-27,52.50599999999999,,,,
2017-11-03,54.59400000000001,,,,
2017-11-10,57.052,,,,
2017-11-17,55.814,,,,
2017-11-24,57.65599999999999,,,,
2017-12-01,57.812,,,,
2017-12-08,56.916,,,,
2017-12-15,57.168000000000006,,,,
2017-12-22,57.86800000000001,,,,
2017-12-29,59.88,,,,
2018-01-05,61.3625,,,,
2018-01-12,63.25599999999999,,,,
2018-01-19,63.82000000000001,,,,
2018-01-26,65.138,,,,
2018-02-02,65.318,,,,
2018-02-09,62.013999999999996,,,,
2018-02-16,60.562,,,,
2018-02-23,62.355999999999995,,,,
2018-03-02,62.07000000000001,,,,
2018-03-09,61.653999999999996,,,,
2018-03-16,61.275999999999996,,,,
2018-03-23,64.106,,,,
2018-03-30,64.9675,,,,
2018-04-06,63.074,,,,
2018-04-13,66.022,,,,
2018-04-20,67.546,,,,
2018-04-27,67.912,,,,
2018-05-04,68.38199999999999,,,,
2018-05-11,70.556,,,,
2018-05-18,71.296,,,,
2018-05-25,70.978,,,,
2018-06-01,66.9575,,,,
2018-06-08,65.35,,,,
2018-06-15,66.20599999999999,,,,
2018-06-22,66.324,,,,
2018-06-29,74.026,,,,
2018-07-06,73.70599999999999,,,,
2018-07-13,71.964,,,,
2018-07-20,68.952,,,,
2018-07-27,70.01,,,,
2018-08-03,69.462,,,,
2018-08-10,67.904,,,,
2018-08-17,66.146,,,,
2018-08-24,68.102,,,,
2018-08-31,69.656,,,,
2018-09-07,68.776,,,,
2018-09-14,68.958,,,,
2018-09-21,70.276,,,,
2018-09-28,72.838,,,,
2018-10-05,75.126,,,,
2018-10-12,72.95599999999999,,,,
2018-10-19,70.238,,,,
2018-10-26,67.426,,,,
2018-11-02,65.05600000000001,,,,
2018-11-09,61.574,,,,
2018-11-16,56.916,,,,
2018-11-23,54.166,,,,
2018-11-30,51.013999999999996,,,,
2018-12-07,52.626,,,,
2018-12-14,51.541999999999994,,,,
2018-12-21,46.980000000000004,,,,
2018-12-28,45.22333333333333,,,,
2019-01-04,46.99666666666667,,,,
2019-01-11,50.78,,,,
2019-01-18,51.924,,,,
2019-01-25,52.919000000000004,,,,
2019-02-01,53.634,,,,
2019-02-08,53.525999999999996,,,,
2019-02-15,53.878,,,,
2019-02-22,56.565999999999995,,,,
2019-03-01,56.122,,,,
2019-03-08,56.348,,,,
2019-03-15,57.81,,,,
2019-03-22,59.436,,,,
2019-03-29,59.489999999999995,,,,
2019-04-05,62.36,,,,
2019-04-12,64.102,,,,
2019-04-19,63.800000000000004,,,,
2019-04-26,65.276,,,,
2019-05-03,62.9,,,,
2019-05-10,61.814,,,,
2019-05-17,62.104,,,,
2019-05-24,60.722,,,,
2019-05-31,56.9275,,,,
2019-06-07,52.972,,,,
2019-06-14,52.522000000000006,,,,
2019-06-21,54.754,,,,
2019-06-28,58.382000000000005,,,,
2019-07-05,57.275999999999996,,,,
2019-07-12,59.024,,,,
2019-07-19,56.748000000000005,,,,
2019-07-26,56.053999999999995,,,,
